Systematic,Proteine,Gene
b3477,P33591,NIKB
b3478,P0AFA9,NIKC
b3479,P33593,NIKD
b3480,P33594,NIKE
b3493,P0AFJ7,PITA
b3496,P36837,DTPB
b3500,P06715,GSHR
b3502,P0AB93,ARSB
b3503,P0AB96,ARSC
b3517,P69908,DCEA
b3519,P62601,TREF
b3526,P37647,KDGK
b3528,P0A830,DCTA
b3540,P37313,DPPF
b3541,P0AAG0,DPPD
b3542,P0AEG1,DPPC
b3543,P0AEF8,DPPB
b3544,P23847,DPPA
b3546,P37661,EPTB
b3551,P20099,BISC
b3553,P37666,GHRB
b3559,P00961,SYGB
b3560,P00960,SYGA
b3564,P09099,XYLB
b3565,P00944,XYLA
b3566,P37387,XYLF
b3567,P37388,XYLG
b3568,P0AGI4,XYLH
b3571,P25718,AMY1
b3572,P09053,AVTA
b3575,P37672,DLGD
b3577,P37674,YIAM
b3578,P37675,YIAN
b3579,P37676,YIAO
b3580,P37677,LYXK
b3581,P37678,SGBH
b3583,P37680,SGBE
b3588,P37685,ALDB
b3591,P0A821,SELA
b3599,P00550,PTM3C
b3600,P09424,MTLD
b3603,P33231,LLDP
b3605,P33232,LLDD
b3607,P0A9D4,CYSE
b3608,P0A6S7,GPDA
b3610,P0AC62,GLRX3
b3612,P37689,GPMI
b3616,P07913,TDH
b3617,P0AB77,KBL
b3619,P67910,HLDD
b3620,P37692,RFAF
b3621,P24173,RFAC
b3622,P27243,RFAL
b3623,P27242,WAAU
b3624,P27241,RFAZ
b3625,P27240,RFAY
b3626,P27129,RFAJ
b3627,P27128,RFAI
b3628,P27127,RFAB
b3629,P27126,RFAS
b3630,P25741,RFAP
b3631,P25740,RFAG
b3632,P25742,RFAQ
b3633,P0AC75,KDTA
b3634,P0A6I6,COAD
b3639,P0ABQ0,COABC
b3640,P06968,DUT
b3642,P0A7E3,PYRE
b3648,P60546,KGUA
b3650,P0AG24,SPOT
b3653,P0AER8,GLTS
b3654,P0AGM9,XANP
b3665,P31441,ADEC
b3666,P0AGC0,UHPT
b3670,P0ADF8,ILVN
b3671,P08142,ILVB
b3679,P31448,YIDK
b3691,P0AA76,DGOT
b3693,P31459,DGOK
b3708,P0A853,TNAA
b3709,P23173,TNAB
b3714,P31466,ADEP
b3722,P08722,PTV3B
b3725,P0AAH0,PSTB
b3726,P07654,PSTA
b3727,P0AGH8,PSTC
b3728,P0AG82,PSTS
b3729,P17169,GLMS
b3730,P0ACC7,GLMU
b3731,P0A6E6,ATPE
b3732,P0ABB4,ATPB
b3733,P0ABA6,ATPG
b3734,P0ABB0,ATPA
b3735,P0ABA4,ATPD
b3736,P0ABA0,ATPF
b3737,P68699,ATPL
b3738,P0AB98,ATP6
b3739,P0ABC0,ATPZ
b3744,P00963,ASNA
b3747,P63183,KUP
b3748,P04982,RBSD
b3749,P04983,RBSA
b3750,P0AGI1,RBSC
b3751,P02925,RBSB
b3752,P0A9J6,RBSK
b3770,P0AB80,ILVE
b3771,P05791,ILVD
b3772,P04968,ILVA
b3774,P05793,ILVC
b3779,P25552,GPPA
b3781,P0AA25,THIO
b3784,P0AC78,WECA
b3785,P0AG00,WZZE
b3786,P27828,WECB
b3787,P27829,WECC
b3788,P27830,RMLB2
b3789,P61887,RMLA2
b3790,P27832,WECD
b3791,P27833,WECE
b3792,P0AAA7,WZXE
b3793,P27835,WZYE
b3794,P27836,WECG
b3803,P09127,HEMX
b3804,P09126,HEM4
b3805,P06983,HEM3
b3806,P00936,CYAA
b3807,P27838,CYAY
b3809,P0A6K1,DAPF
b3816,P0ABI4,CORA
b3821,P0A921,PA1
b3823,P0AG38,RHTC
b3824,P0AG34,RHTB
b3825,P07000,PLDB
b3826,P27848,YIGL
b3829,P25665,METE
b3831,P12758,UDP
b3833,P0A887,UBIE
b3835,P0A6A0,UBIB
b3843,P0AAB4,UBID
b3844,P0AEN1,FRE
b3845,P21151,FADA
b3846,P21177,FADB
b3849,P0AFZ7,TRKH
b3850,P0ACB4,HEMG
b3856,P32125,MOBB
b3857,P32173,MOBA
b3860,P0AEG4,DSBA
b3867,P32131,HEMN
b3870,P0A9C5,GLN1B
b3875,P76773,OMPL
b3882,P0A9V8,SQUU
b3892,P0AEL0,FDOI
b3893,P0AAJ5,FDOH
b3894,P32176,FDOG
b3902,P32169,RHAD
b3903,P32170,RHAA
b3904,P32171,RHAB
b3907,P27125,RHAT
b3908,P00448,SODM
b3909,P0A712,KDGT
b3915,P69380,FIEF
b3916,P0A796,PFKA
b3917,P0AG78,SUBI
b3918,P06282,CDH
b3919,P0A858,TPIS
b3924,P28861,FENR
b3925,P0A9C9,GLPX
b3926,P0A6F3,GLPK
b3927,P0AER0,GLPF
b3930,P32166,MENA
b3939,P00935,METB
b3940,P00562,AK2H
b3941,P0AEZ1,METF
b3942,P13029,KATG
b3945,P0A9S5,GLDA
b3946,P32669,FSAB
b3951,P32674,GRE1
b3952,P32675,PFLC
b3956,P00864,CAPP
b3957,P23908,ARGE
b3958,P11446,ARGC
b3959,P0A6C8,ARGB
b3960,P11447,ARLY
b3962,P27306,STHA
b3966,P06129,BTUB
b3967,P22634,MURI
b3972,P08373,MURB
b3974,P0A6I3,COAA
b3990,P30140,THIH
b3991,P30139,THIG
b3992,P30138,THIF
b3993,P30137,THIE
b3994,P30136,THIC
b3996,P32664,NUDC
b3997,P29680,DCUP
b4005,P15640,PUR2
b4006,P15639,PUR9
b4013,P07623,METAS
b4014,P08997,MASY
b4015,P0A9G6,ACEA
b4019,P13009,METH
b4024,P08660,AK3
b4025,P0A6T1,G6PI
b4031,P0AGF4,XYLE
b4032,P68183,MALG
b4033,P02916,MALF
b4034,P0AEX9,MALE
b4035,P68187,MALK
b4036,P02943,LAMB
b4039,P26602,UBIC
b4040,P0AGK1,UBIA
b4041,P0A7A7,PLSB
b4042,P0ABN1,KDGL
b4053,P0A6B4,ALR1
b4054,P04693,TYRB
b4055,P0AE22,APHA
b4067,P32705,ACTP
b4069,P27550,ACSA
b4070,P0ABK9,NRFA
b4071,P0ABL1,NRFB
b4072,P0AAK7,NRFC
b4073,P32709,NRFD
b4077,P21345,GLTP
b4079,P07658,FDHF
b4084,P32718,ALSK
b4085,P32719,ALSE
b4086,P32720,ALSC
b4087,P32721,ALSA
b4088,P39265,ALSB
b4090,P37351,RPIB
b4094,P16690,PHNN
b4111,P0C0L7,PROP
b4115,P60061,ADIC
b4117,P28629,ADIA
b4119,P06720,AGAL
b4120,P02921,MELB
b4122,P14407,FUMB
b4123,P0ABN9,DCUB
b4129,P0A8N5,SYK2
b4130,P39276,DTPC
b4131,P0A9H3,LDCI
b4132,P0AAE8,CADB
b4136,P36655,DSBD
b4138,P0ABN5,DCUA
b4139,P0AC38,ASPA
b4151,P0A8Q3,FRDD
b4152,P0A8Q0,FRDC
b4153,P0AC47,FRDB
b4154,P00363,FRDA
b4160,P0A8K1,PSD
b4161,P39286,RSGA
b4169,P26365,AMIB
b4177,P0A7D4,PURA
b4192,P39300,ULAG
b4193,P39301,ULAA
b4194,P69822,ULAB
b4195,P69820,ULAC
b4196,P39304,ULAD
b4197,P39305,ULAE
b4198,P39306,ULAF
b4208,P0AAE0,CYCA
b4209,P69506,YTFE
b4213,P08331,CPDB
b4214,P22255,CYSQ
b4219,P0A744,MSRA
b4226,P0A7A9,IPYR
b4227,P39325,YTFQ
b4230,P39328,YTFT
b4231,P37772,YJFF
b4232,P0A993,F16PA
b4233,P37773,MPL
b4237,P0A9N8,NRDG
b4238,P28903,NRDD
b4239,P28904,TREC
b4240,P36672,PTTBC
b4242,P0ABB8,ATMA
b4244,P0A7F3,PYRI
b4245,P0A786,PYRB
b4254,P04391,OTC1
b4258,P07118,SYV
b4260,P68767,AMPA
b4261,P0AF98,LPTF
b4262,P0ADC6,LPTG
b4265,P39344,IDNT
b4266,P0A9P9,IDNO
b4267,P39346,IDND
b4268,P39208,IDNK
b4287,P15031,FECE
b4288,P15029,FECD
b4289,P15030,FECC
b4290,P15028,FECB
b4291,P13036,FECA
b4301,P39362,SGCE
b4311,P69856,NANC
b4321,P0AC94,GNTP
b4322,P24215,UXUA
b4323,P39160,UXUB
b4356,P39398,LGOT
b4358,P39400,LGOD
b4367,P39405,FHUF
b4374,P0A8Y1,YJJG
b4381,P0A6L0,DEOC
b4382,P07650,TYPH
b4383,P0A6K6,DEOB
b4384,P0ABP8,DEOD
b4386,P32099,LPLA
b4388,P0AGB0,SERB
b4390,P27278,NADR
b4392,P0AGC3,SLT
b4394,P39411,NCPP
b4395,P0A7A2,GPMB
b4407,O32583,THIS
b4460,P0AE26,ARAH
b4467,P52074,GLCF
b4468,P52073,GLCE
b4471,P42630,TDCG
b4474,P45541,FRLC
b4476,P0AC96,GNTU
b4477,Q6BF16,DGOA
b4478,Q6BF17,DGOD
b4481,P56258,WECF
b4485,Q6BEX0,YTFR
b4513,P36937,KDPF
b4544,Q47377,ARNE
b1812,P05041,PABB
b1768,P21369,PNCA
b1692,P0A6D5,YDIB
b1849,P33221,PURT
b1850,P0A955,ALKH
