rxn; rxn_REV ; ; WT_rxn_flux; WT_rxn_REV_flux; ; O_rxn_flux;O_rxn_REV_flux
r_2957No1; r_2957_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2958No1; r_2958_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2959No1; r_2959_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2960No1; r_2960_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2961No1; r_2961_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2962No1; r_2962_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2963No1; r_2963_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2964No1; r_2964_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2965No1; r_2965_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2966No1; r_2966_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2967No1; r_2967_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2968No1; r_2968_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2969No1; r_2969_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2970No1; r_2970_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2971No1; r_2971_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2972No1; r_2972_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2973No1; r_2973_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2974No1; r_2974_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2975No1; r_2975_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2976No1; r_2976_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2977No1; r_2977_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2978No1; r_2978_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2979No1; r_2979_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2980No1; r_2980_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2981No1; r_2981_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2982No1; r_2982_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2983No1; r_2983_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2984No1; r_2984_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2985No1; r_2985_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2986No1; r_2986_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2987No1; r_2987_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2988No1; r_2988_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2989No1; r_2989_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2990No1; r_2990_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2991No1; r_2991_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2992No1; r_2992_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2993No1; r_2993_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2994No1; r_2994_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2995No1; r_2995_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2996No1; r_2996_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2997No1; r_2997_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2998No1; r_2998_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2999No1; r_2999_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3000No1; r_3000_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3001No1; r_3001_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3002No1; r_3002_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3003No1; r_3003_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3004No1; r_3004_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3005No1; r_3005_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3006No1; r_3006_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3007No1; r_3007_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3008No1; r_3008_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3009No1; r_3009_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3010No1; r_3010_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_3011No1; r_3011_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P39714;;;;;;
r_0003No1; r_0003_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P43123;;;;;;
r_1069No1; r_1069_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P53615;;;;;;
r_1667No1; r_1667_REVNo1; ; 1.4589961175732002; 0.0; ;1.4589978479140324; 0.0
P29952;;;;;;
r_0723No1; r_0723_REVNo1; ; 0.0; 0.16769356814102374; ;0.0; 0.08376293728644135
P53090;;;;;;
r_0018No2; r_0018_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_0851No1; r_0851_REVNo1; ; 0.0; 0.24059587141880562; ;0.0; 0.09976951758372148
r_1063No1; r_1063_REVNo1; ; 0.0413946174025699; 0.0; ;0.041225726826966284; 0.0
P42222;;;;;;
r_0366No4; r_0366_REVNo4; ; 0.0; 0.0; ;0.0; 0.0
P23542;;;;;;
r_0216No1; r_0216_REVNo1; ; 0.0; 0.5127192525638214; ;0.0; 0.2563596262819107
r_0218No1; r_0218_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P40363;;;;;;
r_0987No1; r_0987_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P22007;;;;;;
r_0249No1; r_0249_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
Q05911;;;;;;
r_0152No1; r_0152_REVNo1; ; 0.041794132401714146; 0.0; ;0.020876169132978076; 0.0
P04397;;;;;;
r_1070No1; r_1070_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P17695;;;;;;
r_0483No4; r_0483_REVNo4; ; 0.0; 0.0; ;0.0; 0.0
Q05016;;;;;;
r_0676No1; r_0676_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P08417;;;;;;
r_0451No1; r_0451_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_0452No1; r_0452_REVNo1; ; 0.13672616542723898; 0.0; ;0.06836308271361949; 0.0
P47912;;;;;;
r_2195No1; r_2195_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2196No1; r_2196_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2197No1; r_2197_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2198No1; r_2198_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2199No1; r_2199_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2201No1; r_2201_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2202No1; r_2202_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2203No1; r_2203_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2204No1; r_2204_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2205No1; r_2205_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P22768;;;;;;
r_0208No1; r_0208_REVNo1; ; 0.06524555556857718; 0.0; ;0.0325901550065043; 0.0
P08431;;;;;;
r_1071No1; r_1071_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P38075;;;;;;
r_0955No1; r_0955_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P29703;;;;;;
r_0249No1; r_0249_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P53167;;;;;;
r_1095No2; r_1095_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
P46969;;;;;;
