,internal_id,uniprot_id,external_id
446,scpC,P52043,ygfH b2920 JW2887
447,sfmH,P75715,b0533 JW5071
448,sufE,P76194,ynhA b1679 JW1669
449,ugpE,P10906,b3451 JW3416
450,pgpC,P0AD42,yfhB b2560 JW5408
451,plsX,P27247,b1090 JW5156
452,pxpA,P75746,ybgL b0713 JW0703
453,rimP,P0A8A8,yhbC b3170 JW5533
454,rhaT,P27125,b3907 JW3878
455,rmf,P0AFW2,b0953 JW0936
456,rpsC,P0A7V3,b3314 JW3276
457,rzpR,P77551,ydaX b1362 JW5212
458,ruvB,P0A812,b1860 JW1849
459,truC,P0AA41,yqcB b2791 JW2762
460,uxuB,P39160,b4323 JW4286
461,plsC,P26647,parF b3018 JW2986
462,rluE,P75966,ymfC b1135 JW1121
463,ssuD,P80645,ycbN b0935 JW0918
464,aspS,P21889,tls b1866 JW1855
465,phoB,P0AFJ5,b0399 JW0389
466,pgpA,P18200,yajN b0418 JW0408
467,proW,P14176,b2678 JW2653
468,preT,P76440,yeiT b2146 JW2133
469,psiB,P10031,ECOK12F063
470,rbsB,P02925,prlB rbsP b3751 JW3730
471,rbsR,P0ACQ0,b3753 JW3732
472,recR,P0A7H6,b0472 JW0461
473,tatE,P0A843,ybeC b0627 JW0622
474,trxC,P0AGG4,yfiG b2582 JW2566
475,usg,P08390,b2319 JW2316
476,rutA,P75898,ycdM b1012 JW0997
477,rsxE,P77179,rnfE ydgQ b1632 JW1624
478,sbcC,P13458,rmuA b0397 JW0387
479,setA,P31675,yabM b0070 JW0069
480,sfmC,P77249,b0531 JW0520
481,sgcQ,P39364,yjhM b4303 JW4265
482,sra,P68191,rpsV b1480 JW5962
483,trbA,P18034,ECOK12F092
484,xapR,P23841,pndR yfeB b2405 JW2396
485,ravA,P31473,yieN b3746 JW3725
486,ribF,P0AG40,yaaC b0025 JW0023
487,repL,P56980,ECOK12F007
488,sspA,P0ACA3,pog ssp b3229 JW3198
489,tdcR,P11866,b3119 JW5525
490,trpA,P0A877,b1260 JW1252
491,psuK,P30235,pscK yeiC b2166 JW2153
492,purH,P15639,b4006 JW3970
493,puuA,P78061,ycjK b1297 JW5201 A0A0G3HHZ6
494,rcnR,P64530,yohL b2105 JW2092
495,queG,P39288,yjeS b4166 JW4124
496,repB,Q57154,repA ECOK12F033
497,sufD,P77689,ynhC b1681 JW1671
498,sutR,P77626,ydcN b1434 JW1430
499,trpS,P00954,b3384 JW3347
500,tisB,A5A627,ysdB b4618 JW3649
501,prpR,P77743,yahP b0330 JW0322
502,frwB,P69816,yijK b3950 JW3922
503,agaC,P42910,yraE b3139 JW3108
504,pspD,P0AFV8,b1307 JW1300
505,rhtA,P0AA67,ybiF b0813 JW0798
506,resD,P06615,D ECOK12F044
507,rimM,P0A7X6,yfjA b2608 JW5413
508,rplP,P0ADY7,b3313 JW3275
509,rplW,P0ADZ0,b3318 JW3280
510,rplU,P0AG48,b3186 JW3153
511,mrdB,P0ABG7,rodA b0634 JW0629
512,rpnB,P77768,yfcI b2305 JW2302
513,rpnC,P31665,yadD b0132 JW5010
514,rspB,P38105,b1580 JW1572
515,rzpD,P75719,ybcT b0556 JW5079
516,rsmJ,P68567,yhiQ b3497 JW5672
517,sfmA,P0ABW5,b0530 JW0519
518,sopA,P62556,A ECOK12F046
519,soxR,P0ACS2,marC b4063 JW4024
520,sgbE,P37680,yiaS b3583 JW3555
521,sgbH,P37678,yiaQ b3581 JW3553
522,sxy,P75869,tfoX yccR b0959 JW0942
523,menC,P29208,b2261 JW2256
524,mltA,P0A935,mlt ygdM b2813 JW2784
525,mtlR,P0AF10,b3601 JW3575
526,ompW,P0A915,yciD b1256 JW1248
527,mdoD,P40120,opgD ydcG yzzZ b1424 JW1420
528,phnE,P0DP70,phnE2 b4103 JW4065
529,ychQ,Q46755,sirB2 b1213 JW1204
530,sgcR,P39361,yjhJ b4300 JW4262
531,trpR,P0A881,rtrY b4393 JW4356
532,pstA,P07654,phoT b3726 JW3704
533,sgbU,P37679,yiaR b3582 JW5650
534,sbp,P0AG78,b3917 JW3888
535,ssuE,P80644,ycbP b0937 JW0920
536,umuC,P04152,b1184 JW1173
537,pppA,Q46836,yghH b2972 JW2939
538,ppiC,P0A9L5,parVA b3775 JW3748
539,cmtB,P69824,b2934 JW2901
540,psiE,P0A7C8,yjbA b4030 JW3990
541,pyrB,P0A786,b4245 JW4204
542,rarD,P27844,b3819 JW5589
543,rapA,P60240,hepA yabA b0059 JW0058
544,ybiA,P30176,b0798 JW0783
545,rfaF,P37692,waaF b3620 JW3595
546,renD,P75718,b0542 JW0530
547,ubiB,P0A6A0,aarF yigQ yigR yigS b3835 JW3812
548,xylH,P0AGI4,b3568 JW3540
549,wcaL,P71243,yefL b2044 JW2029
550,pliG,P76002,ycgK b1178 JW1167
551,tpr,P02338,b1229 JW1219
552,rpsU,P68679,b3065 JW3037
553,tdcF,P0AGL2,yhaR b3113 JW5521
554,torI,Q2EES9,b4501 JW5387
555,tusD,P45532,yheN b3345 JW3307
556,ttdR,P45463,ygiP b3060 JW3032
557,trxB,P0A9P4,b0888 JW0871
558,mraZ,P22186,yabB b0081 JW0079
559,rpsP,P0A7T3,b2609 JW2590
560,rsmH,P60390,mraW yabC b0082 JW0080
561,sapB,P0AGH3,b1293 JW1286
562,sapD,P0AAH4,trkE b1291 JW1284
563,slyX,P0A8R4,b3348 JW3310
564,trmH,P0AGJ2,spoU b3651 JW3626
565,perM,P0AFI9,yfgO b2493 JW2478
566,proA,P07004,b0243 JW0233
567,rna,P21338,rnsA b0611 JW0603
568,sfmD,P77468,b0532 JW0521
569,sfsB,P0ACH1,nlp sfs7 b3188 JW3155
570,ulaG,P39300,yjfR b4192 JW5868
571,ugd,P76373,pmrE udg yefA b2028 JW2010
572,xylR,P0ACI3,b3569 JW3541
573,ybgC,P0A8Z3,b0736 JW0726
574,rcdA,P75811,ybjK b0846 JW5114
575,queE,P64554,ygcF b2777 JW2748
576,rfaQ,P25742,waaQ b3632 JW3607
577,rplY,P68919,b2185 JW2173
578,uacR,Q46802,ygeV b2869 JW2837
579,vsr,P09184,b1960 JW1943
580,wzxE,P0AAA7,wzx yifJ b3792 JW3766
