Gene;yB8n055.03II01.batch.p1;yB8n056.03II01.batch.p2;yB8n057.03II01.batch.p3;yB8n058.03II01.batch.p4;yB8n059.03II01.batch.p5;yB8n060.03II01.batch.p6;yB8n061.03II01.batch.p7;yB8n062.03II01.batch.p8;yB8n063.03II01.batch.p9;yB8n064.03II01.batch.p10;yB8n065.03II01.batch.p11;yB8n066.03II01.batch.p12;yB8n044.Low.D.chemostat.vs..High.D.chemostat
YKL109W;-4.597059793;-3.375208394;-3.245191085;-3.070954552;-1.283013046;0.187978594;-0.072630824;4.022007609;3.118378927;5.035090588;2.171808678;-1.596955659;0.454960243
YFL021W;2.186155545;-2.451164621;-1.585758205;-0.667829589;4.018840451;1.452102882;-3.014124576;1.032141035;-2.104142123;0.549761297;1.332618115;-2.217036927;-0.586838916
YML027W;2.788677278;6.746782887;5.98494311;6.405213545;8.078612588;10.90945036;7.658379597;-8.637884303;-10.22386481;-10.64695428;-10.591196;12.92325245;-3.178418771
YOR344C;-3.159067174;-1.649312112;-2.399576281;-2.028393209;2.335920717;5.100463739;1.212857077;1.109777498;-0.634556018;-0.792286009;-4.72751589;5.11819331;2.5980518
YIR017C;-4.694519339;-3.701639066;-4.767491905;-3.790696853;1.246363464;3.318742758;-3.875714503;4.046441237;2.508067232;4.224777413;-1.081769171;1.124903389;1.644407039
YJL056C;-2.756626608;-3.685094854;-4.564809093;-3.331862583;2.030716355;4.054949153;-1.144134219;2.310270068;0.456207846;2.277403068;-2.314934929;-0.598534578;3.430725159
YLR136C;-0.182679058;-6.261976397;-4.682471232;-4.448521254;-2.689892122;-3.621888742;-2.633910629;4.242565448;5.004651385;5.006750741;5.223758797;-7.340400888;3.711796145
YDR253C;-1.403219979;0.371722953;-0.662760526;0.079213754;-1.515534643;0.130138834;-2.022691659;1.240324693;0.269541194;1.717106386;-1.088631474;1.29143313;0.637667192
YPL230W;-9.729987635;-16.91918316;-16.20917361;-15.00109722;-8.567502896;-8.608013311;-9.842814166;16.77995295;18.4511048;19.71548293;15.19550871;-16.58612068;3.929493587
YPR193C;-2.201743993;-6.04541883;-5.247067903;-5.416249453;-4.356524396;-5.723416223;-5.362449286;6.296999104;6.204700345;7.496139919;8.517481344;-7.710621106;2.163985023
YDR043C;-5.006615606;-6.261883653;-5.880823857;-3.840402841;0.541506149;-0.087358547;-5.116250998;6.171853745;5.315971558;6.864581985;1.501267391;-1.406246475;2.310078938
YDR451C;-1.482810221;7.383486399;5.22527042;4.776435255;1.690238447;9.121248875;7.842453387;-6.252522357;-5.47641593;-9.103224445;-10.76821447;12.95576777;-1.359035634
YER111C;-2.638305737;-3.119942366;-3.394505418;-2.408920189;-0.083078886;-0.035098355;-1.464474785;3.399521479;2.325791649;5.02444253;1.768963748;-2.117659891;-0.227455478
YLR228C;-1.394369204;-1.814651883;-2.365314183;-2.330736323;1.171757071;1.358241168;-1.710284638;1.086227168;0.413107268;1.318696688;-1.25627239;0.193604069;1.925991506
YDR216W;-4.246699949;-10.12792714;-9.370981939;-8.458880836;-2.909637838;-5.596654453;-6.022245718;11.35324577;9.538047461;12.04386067;9.327660163;-11.99021484;0.837909915
YDR169C;-0.726928798;-9.734698227;-7.083482639;-5.086619301;-0.529334228;-5.588101455;-6.477469426;8.922359752;5.960057789;9.859653529;9.786411032;-11.16841761;1.756300767
YDR277C;-2.610769708;-5.389788887;-4.605747551;-4.26394326;-7.183757245;-8.037970256;-4.070617828;7.075438625;8.915165747;6.991281081;8.655658715;-10.14781672;3.268444912
YFL044C;-1.901079183;-10.77268043;-6.358940013;-6.305571698;-1.643485322;-5.154398399;-5.356323417;8.943396479;6.543997453;9.600237335;10.06326534;-11.1787717;3.777347151
