,Unnamed: 0,Target,coact,corep,Coef.Acts,Coef.Reps,Coef.coActs,Coef.coReps,R2,RMSE,interactions,coop,MergeScore
2053,1143959,YDR255C,YOR113W YJL089W YMR053C,YLR113W YML027W,0.577609305127692 0.0760050957455251 0.309558982987598,0.495143913604124 0.309558982987598 0.0760050957455251,"-5,88871515120441e-06","-0,0641035033868769","0,882041781234609","0,300853630693637",0,0,"0,294013927078203"
2054,1144148,YEL072W,YIR017C YDR253C YLR136C,YMR280C,-0.145027811216356 0.137730785176014 -0.278937637930982,-0.14855755704412,"0,00488851242894741",,"0,710508543847255","0,475280149951592",0,0,"0,236836181282418"
2055,1144182,YGL107C,YBR033W YKL043W,YOR028C YKL062W,-1.13094651929175 -1.0935819784428,-0.856507473281299 -1.0935819784428,"0,142480125445099","0,0856491387991764","0,465454400153157","0,422202336933517",0,0,"0,155151466717719"
2056,1144364,YPL024W,YBL021C YBR297W YDR253C,YDR096W YLR136C,0.317085880609844 0.351063075266385 0.276002301463115,0.031224420930444 0.276002301463115 0.351063075266385,"-0,00222804367921966","-0,0263753657219116","0,586547670866947","0,392825924454114",0,0,"0,195515890288982"
2057,1144437,YEL050C,YBR033W YKL043W,YJL089W YGR067C,-0.671742610750025 -0.907166649289603,-0.491110605973014 -0.907166649289603,"0,102693530688783","0,0216940574299374","0,452160789896859","0,464347624586196",0,0,"0,150720263298953"
2058,1144586,YLR145W,YPR094W YGR063C,YPR193C YKL038W YIL101C,0.495096055575502 0.195981099678665,0.0276432681571148,"-0,00422383574515778","0,00137384816111082","0,698605078265179","0,384791555165793",0,0,"0,232868359421726"
2059,1144715,YDR465C,YBL054W,YMR280C YDR277C YJL089W,0.580874208117881,0.254313457893304 0.32546434293661,,"-0,00450608595508608","0,730256812021746","0,48988022596018",0,0,"0,243418937340582"
2060,1148805,YMR235C,YCL055W YDR146C,YDR277C YFL044C YFR034C,0.807042369978242 0.906744279644933,0.285012074102012,"-0,106319144118877","-0,00562957602713669","0,654025829865131","0,340903275325571",0,"0,25","0,301341943288377"
2061,1154791,YNL072W,YLR183C YBL054W,YMR280C YDR096W,0.148509092387529 -0.0305072514033194,0.455806034381511 -0.0305072514033194,"0,0297781979615004","-0,0276869093220155","0,630282304125909","0,376625132930661",0,0,"0,210094101375303"
2062,1154886,YDR279W,YCL055W YGR063C,YDR216W YDR096W YLR136C,-0.589888621693252 -0.474925284313295,0.20849756587429,"0,0936353185432629","-0,00120978398118405","0,663396215407775","0,332901744687938",0,0,"0,221132071802592"
2063,1155024,YLR154C,YGR063C YLR183C,YDR216W YDR096W YJL089W,0.434836749604974 0.735229347822069,-0.280742562298885,"-0,0450572477485977","0,00408731159558894","0,675006056711491","0,405013807154788",0,0,"0,22500201890383"
2064,1155039,YLL046C,YIR019C YMR182C,YDR043C YKL043W,-1.89442789778094 -1.81025220315227,-1.04092573043908 -1.81025220315227,"0,254274484631777","0,0821362639609931","0,743023448140161","0,54171442225663",0,0,"0,247674482713387"
2065,1155180,YER070W,YLR183C,YDL020C YGR067C,1.06166115556532,-0.634739538015982,,"0,0131741294787633","0,836882804646373","0,542370221312975",0,0,"0,278960934882124"
2066,1155337,YJL026W,,YDR216W YFL021W YOR290C,,-0.466986624138159 -0.3419240381494 -0.732415453873702,,"0,00520768348505525","0,135943176208011","0,482444390406665",0,0,"0,045314392069337"
2067,1155361,YIL066C,YPL202C,YMR280C YBR150C,0.575629179240607,-1.17556660194538,,"0,14246880917326","0,504724136955602","0,528554938322227",0,0,"0,168241378985201"
2068,1155487,YGR180C,,YDR277C YML081W,,-1.37014119545603 -2.17110834069538,,"0,1663922021932","0,308192443981824","0,463283639848322",0,0,"0,102730814660608"
2069,1155739,YMR239C,YML113W YBL054W,YFL021W YIL101C,0.0420587878824643 -0.123187340248921,-0.370792784136273 -0.123187340248921,"0,0452079731287937","0,0358255948679081","0,854721926980553","0,336442094310989",0,0,"0,284907308993518"
2070,1155791,YPL123C,YOR298C-A YIL101C YGR067C,YBL054W,0.648482652558755 0.417951563402231 0.264727314596294,-0.110440726828376,"-0,001711096215178",,"0,67653146980869","0,552674575500992",0,0,"0,22551048993623"
2071,1155881,YGL144C,YGR089W,YJL115W YGL209W,0.778960020902322,-1.14753249430652,,"0,138680564789217","0,495310040595963","0,428830189695607",0,0,"0,165103346865321"
2072,1156120,YFR022W,YIL154C YLR136C,YMR280C YBR240C,-0.530652997233134 -0.865733556056924,0.147370327280924 -0.865733556056924,"0,097431699554693","-0,0144591165247552","0,541495956190071","0,526910432175775",0,0,"0,180498652063357"
2073,1156163,YGL171W,YML113W YBL054W,YOR363C YJL089W,0.382991738661275 0.454292598356729,0.236945149486869 0.454292598356729,"-0,00504812242092262","-0,0617372429359344","0,776162082298974","0,417019593358759",0,0,"0,258720694099658"
