Alias_3;Gene_name;Alias_1;Alias_2;Rule
b0652;GltL;gltl;gltL;(NOT (glc-D(e)>0))
b0653;GltK;gltk;gltK;(NOT (glc-D(e)>0))
b0654;GltJ;gltj;gltJ;(NOT (glc-D(e)>0))
b0655;GltI;glti;gltI;(NOT (glc-D(e)>0))
b0662;UbiF;ubif;ubiF;
b0674;AsnB;asnb;asnB;
b0676;NagC;nagc;nagC;(NOT((acgam(e)>0) OR AGDC>0))
b0677;NagA;naga;nagA;(NOT (NagC))
b0678;NagB;nagb;nagB;(NOT (NagC) OR (gam(e)>0))
b0679;NagE;nage;nagE;(NOT (NagC))
b0683;Fur;fur;fur;((fe2(e)>0) AND (OxyR OR SoxS))
b0688;Pgm;pgm;pgm;
b0692;PotE;pote;potE;
b0693;SpeF;spef;speF;
b0694;KdpE;kdpe;kdpE;(KdpD)
b0695;KdpD;kdpd;kdpD;(NOT (k(e)>1))
b0696;KdpC;kdpc;kdpC;(KdpE)
b0697;KdpB;kdpb;kdpB;(KdpE)
b0698;KdpA;kdpa;kdpA;(KdpE)
b0720;GltA;glta;gltA;
b0721;SdhC;sdhc;sdhC;(NOT((ArcA) OR (Fnr)) OR (Crp) OR (Fis))
b0722;SdhD;sdhd;sdhD;(NOT((ArcA) OR (Fnr)) OR (Crp) OR (Fis))
b0723;SdhA;sdha;sdhA;(NOT((ArcA) OR (Fnr)) OR (Crp) OR (Fis))
b0724;SdhB;sdhb;sdhB;(NOT((ArcA) OR (Fnr)) OR (Crp) OR (Fis))
b0726;SucA;suca;sucA;
b0727;SucB;sucb;sucB;
b0728;SucC;succ;sucC;
b0729;SucD;sucd;sucD;
b0733;CydA;cyda;cydA;((NOT Fnr) OR (ArcA))
b0734;CydB;cydb;cydB;((NOT Fnr) OR (ArcA))
b0750;NadA;nada;nadA;
b0751;PnuC;pnuc;pnuC;
b0754;AroG;arog;aroG;( NOT(( (phe-L(e)>0) OR (trp-L(e)>0) ) AND TyrR ))
b0755;GpmA;gpma;gpmA;
b0757;GalK;galk;galK;(NOT(glc-D(e)>0) AND (NOT(GalR OR GalS)) OR NOT (Rob))
b0758;GalT;galt;galT;(NOT(glc-D(e)>0) AND (NOT(GalR OR GalS)) OR NOT (Rob))
b0759;GalE;gale;galE;(NOT(glc-D(e)>0) AND (NOT(GalR OR GalS)) OR NOT (Rob))
b0774;BioA;bioa;bioA;(NOT (BirA))
b0775;BioB;biob;bioB;(NOT (BirA))
b0776;BioF;biof;bioF;(NOT (BirA))
b0778;BioD;biod;bioD;(NOT (BirA))
b0809;GlnQ;glnq;glnQ;
b0810;GlnP;glnp;glnP;
